old_name	new_name
assembly_final.sorted.headerRenamed.chrAssigned.mito.fasta	Degus
GCA_029890205.1_ASM2989020v1_genomic.fna	Egytian_spiny_rat
GCA_030556225.1_Psun-UiT-1_genomic.fna	Siberian_hamster
GCF_000001635.27_GRCm39_genomic.fna	House_mouse
GCF_020740685.1_mJacJac1.mat.Y.cur_genomic.fna	Egyptian_jerboa
GCF_023159225.1_ASM2315922v1_genomic.fna	PPocket_mouse
GCF_034190915.1_mCavPor4.1_genomic.fna	Guinea_pig
GCA_944319725.1_Naked_mole-rat_paternal_genomic.fna	NMole_rat
GCF_000001405.40_GRCh38.p14_genomic.fna	Human
GCF_000002285.5_Dog10K_Boxer_Tasha_genomic.fna	Dog
GCF_036323735.1_GRCr8_genomic.fna	Norway_rat
