samples	genome	Feature linkages detected
6211_dHIP	octDeg1	912147
6036_PFC	octDeg1	718171
6560_PFC	octDeg1	506631
6211_dHIP	octDeg2	1020325
6036_PFC	octDeg2	824751
6560_PFC	octDeg2	584611
6036_dHIP	octDeg1	793792
6205_PFC	octDeg1	212776
6209_PFC	octDeg1	803144
6209_dHIP	octDeg1	318593
6211_dHIP	octDeg1	912147
6240_PFC	octDeg1	311478
6255_PFC	octDeg1	926948
6255_dHIP	octDeg1	1048676
6372_dHIP	octDeg1	289887
6539_PFC	octDeg1	583101
6539_dHIP	octDeg1	293933
6556_PFC	octDeg1	461055
6556_dHIP	octDeg1	491974
6560_dHIP	octDeg1	265115
6567_PFC	octDeg1	1539173
6567_dHIP	octDeg1	2290237
6593_dHIP	octDeg1	1287361
6810_PFC	octDeg1	255895
6834_PFC	octDeg1	984962
6834_dHIP	octDeg1	1045105
7000_PFC	octDeg1	401794
7000_dHIP	octDeg1	329942
6036_dHIP	octDeg2	876945
6205_PFC	octDeg2	227340
6209_PFC	octDeg2	894875
6209_dHIP	octDeg2	351879
6211_dHIP	octDeg2	1020325
6240_PFC	octDeg2	343124
6255_PFC	octDeg2	1027717
6255_dHIP	octDeg2	1261922
6372_dHIP	octDeg2	323018
6539_PFC	octDeg2	640969
6539_dHIP	octDeg2	328192
6556_PFC	octDeg2	532781
6556_dHIP	octDeg2	548237
6560_dHIP	octDeg2	306481
6567_PFC	octDeg2	1698122
6567_dHIP	octDeg2	2560315
6593_dHIP	octDeg2	1467055
6810_PFC	octDeg2	284887
6834_PFC	octDeg2	1090822
6834_dHIP	octDeg2	1169081
7000_PFC	octDeg2	445215
7000_dHIP	octDeg2	367042
181_dHIP	octDeg2	1345717
181_dHIP	octDeg1	1192011
6997_dHIP	octDeg2	1469180
6997_dHIP	octDeg1	1301708
181_PFC	octDeg2	1177006
181_PFC	octDeg1	1061895
