family	paralog_name	paralog_type	classification	mean_TPM	median_TPM	max_TPM	tissues_detected	samples_detected	pct_samples	pearson_r_vs_parent	pearson_pvalue	tissue_specificity
Aadac	Aadac-l1	l	supported	53.0609	12.2730	271.4730	6	29	100.0000	0.7792	0.0677	0.3623
Aadac	Aadac-l2	l	low expression	14.1999	0.1730	180.4577	5	18	62.0690	-0.0465	0.9304	0.9671
Aadac	Aadac-l3	l	parent correlated	47.3018	13.1171	324.3238	6	29	100.0000	0.8948	0.0160	0.2799
Aadacl4	Aadacl4-l1	l	low expression	14.0981	0.0000	233.9915	3	9	31.0345	0.9921	0.0001	0.9889
Aadacl4	Aadacl4-l2	l	low expression	3.9472	0.0000	61.6697	4	11	37.9310	0.9862	0.0003	0.9659
Aadacl4	Aadacl4-l3	l	supported	6.5743	1.0574	61.5517	6	29	100.0000	0.7894	0.0619	0.5103
Aasdhppt	Aasdhppt-l1	l	parent correlated	275.8859	169.7439	1007.7056	6	29	100.0000	0.9757	0.0009	0.2016
Abca3	Abca3-l1	l	supported	6.8411	4.3948	18.6353	6	29	100.0000	0.5257	0.2841	0.1973
Abcb1	Abcb1-l1	l	supported	13.3971	8.1327	55.0531	6	29	100.0000	-0.2888	0.5789	0.2010
Abcg2	Abcg2-l1	l	supported	13.9805	9.1242	42.8732	6	29	100.0000	0.1760	0.7388	0.1177
Abcg2	Abcg2-l2	l	supported	32.2257	23.0579	93.7438	6	29	100.0000	0.6844	0.1337	0.0968
Abraxas2	Abraxas2-dl1	dl	supported	72.0812	61.9881	119.5173	6	29	100.0000	0.4320	0.3924	0.0193
Acad9	Acad9-l1	l	supported	132.5121	102.2231	367.4769	6	29	100.0000	0.4480	0.3730	0.0862
Acbd5	Acbd5-l1	l	parent correlated	240.3438	196.2897	648.2471	6	29	100.0000	0.8933	0.0165	0.0925
Accsl	Accsl-l1	l	low expression	0.0097	0.0000	0.1819	2	2	6.8966	0.7824	0.0659	0.6527
Accsl	Accsl-l2	l	low expression	0.2547	0.0000	2.1718	6	12	41.3793	0.6203	0.1889	0.2086
Aco1	Aco1-l1	l	parent correlated	1550.1553	1104.0960	5365.8031	6	29	100.0000	0.9929	0.0001	0.1826
Acot13	Acot13-dl1	dl	parent correlated	72.6690	69.1510	177.1194	6	29	100.0000	0.9521	0.0034	0.0913
Acot13	Acot13-dl2	dl	parent correlated	66.1812	54.0736	181.8354	6	24	82.7586	0.9681	0.0015	0.2378
