Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
human_GO_bp_2025.gmt,'De Novo' Post-Translational Protein Folding (GO:0051084),3/17,0.10734327983230747,0.6579351544822044,3.2760838230402483,7.311312787874168,CCT3;CCT7;CCT4
human_GO_bp_2025.gmt,"+ Reg of CD4-+, CD25-+, Alpha-Beta Regulatory T Cell Differentiation (GO:0032831)",2/3,0.013535761404385824,0.351165908645752,22.618538324420676,97.3144539878744,IFNG;LGALS9
human_GO_bp_2025.gmt,+ Reg of Mt Membrane Permeability Inv in Apoptotic Process (GO:1902110),3/4,0.0012299936762139273,0.12053938026896488,31.73383351196856,212.6403659320245,RHOT1;VDAC2;BNIP3
human_GO_bp_2025.gmt,+ Reg of Mt Outer Membrane Permeabilization Inv in Apoptotic Sgnlng Pway (GO:1901030),1/2,0.1329297557015066,0.6579351544822044,13.542155816435432,27.32718265313555,SIVA1
human_GO_bp_2025.gmt,+ Reg of Myeloid Leukocyte Cytokine Production Inv in Imm Resp (GO:0061081),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,PLCG2
human_GO_bp_2025.gmt,"+ Reg of Nuclear-Transcribed mRNA Cat Proc, Deadenylation-Dep Decay (GO:1900153)",1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,ZFP36L2
human_GO_bp_2025.gmt,+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897),1/56,0.9818717609540771,0.9914830764914946,0.3628890363148634,0.00663889844708671,CCL3
human_GO_bp_2025.gmt,+ Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090100),1/23,0.8065878304548986,0.8891519390841401,0.8998221273568126,0.1934100033170843,BMPER
human_GO_bp_2025.gmt,- Reg of Adaptive Imm Resp Based on Som Recomb of Imm Rcptrs Built Frm IgSF Domains (GO:0002823),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,LGALS9
human_GO_bp_2025.gmt,"- Reg of Nuclear-Transcribed mRNA Cat Proc, Deadenylation-Dep Decay (GO:1900152)",1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,SYNCRIP
human_GO_bp_2025.gmt,"- Reg of Nuclear-Transcribed mRNA Cat Proc, Nonsense-Mediated Decay (GO:2000623)",1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,SYNCRIP
human_GO_bp_2025.gmt,- Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090101),1/45,0.9600384606425346,0.9795290905046162,0.45338337750170876,0.018489850140779217,ZNF451
human_GO_bp_2025.gmt,3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,SULT1B1
human_GO_bp_2025.gmt,3'-UTR-mediated mRNA Destabilization (GO:0061158),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,ZFP36L2
human_GO_bp_2025.gmt,3'-UTR-mediated mRNA Stabilization (GO:0070935),1/7,0.39311349314694843,0.7187522822462863,3.1226500287332732,2.9154838148419593,BOLL
human_GO_bp_2025.gmt,Acetylcholine Receptor Signaling Pathway (GO:0095500),1/7,0.39311349314694843,0.7187522822462863,3.1226500287332732,2.9154838148419593,LY6E
human_GO_bp_2025.gmt,Acidic Amino Acid Transport (GO:0015800),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,GJA1
human_GO_bp_2025.gmt,Actin Filament Bundle Assembly (GO:0051017),2/14,0.2501660016445124,0.6725999495517755,2.70951871657754,3.754391976944623,SHROOM2;AIF1L
human_GO_bp_2025.gmt,Actin Filament Bundle Organization (GO:0061572),3/15,0.07940294078463345,0.6275393707172644,3.8014576634512327,9.629928102559314,RFLNB;SHROOM2;AIF1L
human_GO_bp_2025.gmt,Actin Filament Organization (GO:0007015),4/60,0.600003722901639,0.781697700124157,1.0761195022955619,0.5497027388824951,RFLNB;RNASE1;SPTA1;SHROOM2
human_GO_bp_2025.gmt,Actin Filament Polymerization (GO:0030041),1/12,0.575338714803466,0.772372521243009,1.763584056424296,0.9749028158966704,RNASE1
human_GO_bp_2025.gmt,Actin Nucleation (GO:0045010),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,ARPC5
human_GO_bp_2025.gmt,Actin Polymerization or Depolymerization (GO:0008154),1/20,0.7602861881495797,0.8628609894459619,1.0387488711928412,0.2846798825555806,RNASE1
human_GO_bp_2025.gmt,Action Potential (GO:0001508),1/29,0.8741256737720192,0.9286104718662102,0.7097118463180363,0.09547833109714432,YWHAH
human_GO_bp_2025.gmt,Activation of Adenylate Cyclase Activity (GO:0007190),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,GNAS
human_GO_bp_2025.gmt,Activation of GTPase Activity (GO:0090630),1/11,0.543894738997155,0.7549813657467591,1.9318493672815977,1.1764953863382994,ECT2
human_GO_bp_2025.gmt,Activation of Protein Kinase Activity (GO:0032147),4/17,0.025705152040451196,0.44429295701590465,4.534550662370211,16.601279454629932,PPIA;ECT2;DYNAP;TPX2
human_GO_bp_2025.gmt,Activation of Protein Kinase B Activity (GO:0032148),2/4,0.025841529132557717,0.44429295701590465,13.56898395721925,49.60511738419774,PPIA;DYNAP
human_GO_bp_2025.gmt,Actomyosin Structure Organization (GO:0031032),3/37,0.47338478630552383,0.7267440362720797,1.3725554157540736,1.0264610650041357,F11R;KRT19;MYH9
human_GO_bp_2025.gmt,Acute Inflammatory Response (GO:0002526),1/7,0.39311349314694843,0.7187522822462863,3.1226500287332732,2.9154838148419593,APOL2
human_GO_bp_2025.gmt,Acute-Phase Response (GO:0006953),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,APOL2
human_GO_bp_2025.gmt,Acylglycerol Homeostasis (GO:0055090),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,OSBPL11
human_GO_bp_2025.gmt,Adaptive Imm Resp Based on Som Recomb of Imm Rcptrs Built Frm IgSF Domains (GO:0002460),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,SCART1
human_GO_bp_2025.gmt,Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway (GO:0071880),1/2,0.1329297557015066,0.6579351544822044,13.542155816435432,27.32718265313555,GNAS
human_GO_bp_2025.gmt,Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway (GO:0007191),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,GNAS
human_GO_bp_2025.gmt,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),2/30,0.6218019138565046,0.7939066382747465,1.1853832442067735,0.5632155308071687,GNAS;ADGRD1
human_GO_bp_2025.gmt,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),1/11,0.543894738997155,0.7549813657467591,1.9318493672815977,1.1764953863382994,FPR2
human_GO_bp_2025.gmt,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),3/41,0.5432834773590859,0.7549813657467591,1.2291727565039463,0.7499478450094973,GNAS;ADGRD1;FPR2
human_GO_bp_2025.gmt,Adrenergic Receptor Signaling Pathway (GO:0071875),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,GNAS
human_GO_bp_2025.gmt,Aerobic Respiration (GO:0009060),1/45,0.9600384606425346,0.9795290905046162,0.45338337750170876,0.018489850140779217,DLAT
human_GO_bp_2025.gmt,Aggrephagy (GO:0035973),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,UBQLN1
human_GO_bp_2025.gmt,Alcohol Metabolic Process (GO:0006066),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,ADH7
human_GO_bp_2025.gmt,Aldehyde Biosynthetic Process (GO:0046184),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,CYP11B1
human_GO_bp_2025.gmt,Aldehyde Catabolic Process (GO:0046185),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,ADH7
human_GO_bp_2025.gmt,Alpha-Beta T Cell Activation (GO:0046631),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,NCR3LG1
human_GO_bp_2025.gmt,Alpha-Linolenic Acid Metabolic Process (GO:0036109),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,FADS2
human_GO_bp_2025.gmt,Ameboidal-Type Cell Migration (GO:0001667),1/8,0.434927768409778,0.7199817787864567,2.7058697972251866,2.2528403887996764,TNS1
human_GO_bp_2025.gmt,Amide Transport (GO:0042886),1/8,0.434927768409778,0.7199817787864567,2.7058697972251866,2.2528403887996764,ABCG2
human_GO_bp_2025.gmt,Aminoglycoside Antibiotic Metabolic Process (GO:0030647),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,AKR1B10
human_GO_bp_2025.gmt,Androgen Biosynthetic Process (GO:0006702),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,HSD17B6
human_GO_bp_2025.gmt,Androgen Metabolic Process (GO:0008209),2/9,0.12341571831772508,0.6579351544822044,4.519429590017825,9.455536119984815,HSD17B6;CYP3A4
human_GO_bp_2025.gmt,Androgen Receptor Signaling Pathway (GO:0030521),1/8,0.434927768409778,0.7199817787864567,2.7058697972251866,2.2528403887996764,RHOXF1
human_GO_bp_2025.gmt,Anterograde Trans-Synaptic Signaling (GO:0098916),5/54,0.3136613076906085,0.7014344967109387,1.5061595502930272,1.7463039080377154,PCDHB4;PCDHB2;PCDHB3;PCDHB11;PCDHB16
human_GO_bp_2025.gmt,Antibacterial Humoral Response (GO:0019731),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,RNASE6
human_GO_bp_2025.gmt,Antibacterial Innate Immune Response (GO:0140367),1/2,0.1329297557015066,0.6579351544822044,13.542155816435432,27.32718265313555,MPEG1
human_GO_bp_2025.gmt,Antibody-Dependent Cellular Cytotoxicity (GO:0001788),1/1,0.06882888171411798,0.6109842574255044,40.63287086446105,108.73891905550649,FCGR2A
human_GO_bp_2025.gmt,Antifungal Innate Immune Response (GO:0061760),1/1,0.06882888171411798,0.6109842574255044,40.63287086446105,108.73891905550649,PLCG2
human_GO_bp_2025.gmt,Antigen Processing and Presentation of Exogenous Peptide Antigen (GO:0002478),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,MPEG1
human_GO_bp_2025.gmt,Antigen Processing and Presentation of Exogenous Peptide Antigen via MHC Class I (GO:0042590),1/1,0.06882888171411798,0.6109842574255044,40.63287086446105,108.73891905550649,MPEG1
human_GO_bp_2025.gmt,Antigen Processing and Presentation of Peptide Antigen via MHC Class I (GO:0002474),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,MPEG1
human_GO_bp_2025.gmt,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),2/41,0.7843427365841149,0.8809809534125302,0.8537873146957287,0.20739278517284743,KHDRBS1;PLCG2
human_GO_bp_2025.gmt,Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844),4/18,0.03130223421655904,0.502888352987342,4.221156339123671,14.622363324584196,RNASE6;CCL3L1;CCL3;CCL4
human_GO_bp_2025.gmt,Antimicrobial Humoral Response (GO:0019730),5/22,0.014967407901283144,0.3713432846394299,4.281931416269414,17.992163043155156,CCL3;CCL4;RNASE6;LYZ;CCL3L1
human_GO_bp_2025.gmt,Antiviral Innate Immune Response (GO:0140374),1/25,0.8323820311775121,0.9038608205584064,0.8261058959336136,0.15156050329317153,IFIT1
human_GO_bp_2025.gmt,Apical Junction Assembly (GO:0043297),3/22,0.18991923123345666,0.6588977933440335,2.4341385659713635,4.043484847547947,FBF1;ECT2;PDCD6IP
human_GO_bp_2025.gmt,Apical Protein Localization (GO:0045176),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,SHROOM2
human_GO_bp_2025.gmt,Apoptotic Mitochondrial Changes (GO:0008637),2/12,0.19801100512773262,0.6611611074111686,3.2266361089890503,5.225319923868167,SOD2;BNIP3
human_GO_bp_2025.gmt,Apoptotic Process (GO:0006915),8/73,0.1272552719915722,0.6579351544822044,1.7660383912399824,3.640794448845626,GML;PPIA;IFNG;BNIP3;GZMH;CASP2;GZMB;NCKAP1
human_GO_bp_2025.gmt,Arachidonate Metabolic Process (GO:0019369),2/8,0.10041356630714114,0.6579351544822044,5.215549156725627,11.987720466033037,CYP2A6;CYP2J2
human_GO_bp_2025.gmt,Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,ARPC5
human_GO_bp_2025.gmt,Astrocyte Activation (GO:0048143),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,IFNG
human_GO_bp_2025.gmt,Astrocyte Development (GO:0014002),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,IFNG
human_GO_bp_2025.gmt,Atrial Cardiac Muscle Cell Action Potential (GO:0086014),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,GJA1
human_GO_bp_2025.gmt,Atrial Cardiac Muscle Cell to AV Node Cell Signaling (GO:0086026),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,GJA1
human_GO_bp_2025.gmt,Attachment of Mitotic Spindle Microtubules to Kinetochore (GO:0051315),1/12,0.575338714803466,0.772372521243009,1.763584056424296,0.9749028158966704,NDC80
human_GO_bp_2025.gmt,Autocrine Signaling (GO:0035425),1/2,0.1329297557015066,0.6579351544822044,13.542155816435432,27.32718265313555,SERPINB3
human_GO_bp_2025.gmt,Autophagosome Assembly (GO:0000045),3/36,0.45514876093982864,0.7267440362720797,1.4137511797923565,1.1128073323231045,UBQLN1;ATG12;RAB7A
human_GO_bp_2025.gmt,Autophagosome Maturation (GO:0097352),3/27,0.2834332643944975,0.6915159365043801,1.9358444342367171,2.4406712017108116,UBQLN1;ATG12;SNX14
human_GO_bp_2025.gmt,Autophagosome Organization (GO:1905037),3/34,0.4179295328734895,0.7199817787864567,1.5039895200666904,1.312144290097482,UBQLN1;ATG12;RAB7A
human_GO_bp_2025.gmt,Autophagy of Mitochondrion (GO:0000422),2/36,0.7198249492239446,0.8445015247280636,0.9782996202433543,0.3216132830352511,ATG12;BNIP3
human_GO_bp_2025.gmt,Axon Development (GO:0061564),2/27,0.563653015860974,0.772372521243009,1.3254692251232043,0.7599132933871644,DHFR;VASH2
human_GO_bp_2025.gmt,Axon Guidance (GO:0007411),3/60,0.7918996225446742,0.8817682097403391,0.820532177641083,0.1914470882419173,RNASE1;EMB;EPHB6
human_GO_bp_2025.gmt,Axon Regeneration (GO:0031103),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,DHFR
human_GO_bp_2025.gmt,Axonal Transport (GO:0098930),1/15,0.6572739920461566,0.8066731524173242,1.3980421742170537,0.5866944272638178,HSBP1
human_GO_bp_2025.gmt,Axonal Transport of Mitochondrion (GO:0019896),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,HSBP1
human_GO_bp_2025.gmt,Axoneme Assembly (GO:0035082),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,CFAP206
human_GO_bp_2025.gmt,Axonogenesis (GO:0007409),2/69,0.9562308478638613,0.9776799487809953,0.4974054268171915,0.022261838693729948,EMB;EPHB6
human_GO_bp_2025.gmt,B Cell Activation (GO:0042113),2/33,0.6737885886802788,0.8157667157041159,1.071980307274425,0.42325950810842317,PTPN2;PLCG2
human_GO_bp_2025.gmt,B Cell Differentiation (GO:0030183),2/22,0.45327120431916695,0.7267440362720797,1.6500586931003,1.3056331103288843,PTPN2;PLCG2
human_GO_bp_2025.gmt,B Cell Mediated Immunity (GO:0019724),2/4,0.025841529132557717,0.44429295701590465,13.56898395721925,49.60511738419774,CSF2RB;IGLL5
human_GO_bp_2025.gmt,B Cell Receptor Signaling Pathway (GO:0050853),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,PLCG2
human_GO_bp_2025.gmt,Bicellular Tight Junction Assembly (GO:0070830),2/16,0.3026516261165659,0.6915159365043801,2.3350543979347225,2.790793698448824,ECT2;PDCD6IP
human_GO_bp_2025.gmt,Bile Acid and Bile Salt Transport (GO:0015721),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,CEACAM1
human_GO_bp_2025.gmt,Binding of Sperm to Zona Pellucida (GO:0007339),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,VDAC2
human_GO_bp_2025.gmt,Biogenic Amine Metabolic Process (GO:0006576),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,SULT1B1
human_GO_bp_2025.gmt,Blood Vessel Endothelial Cell Migration (GO:0043534),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,MYH9
human_GO_bp_2025.gmt,Blood Vessel Endothelial Cell Proliferation Involved in Sprouting Angiogenesis (GO:0002043),1/2,0.1329297557015066,0.6579351544822044,13.542155816435432,27.32718265313555,BMPER
human_GO_bp_2025.gmt,Bone Development (GO:0060348),3/9,0.019906034270097465,0.42874535350979154,7.317421056970896,28.660379871657998,SBDS;GJA1;GNAS
human_GO_bp_2025.gmt,Brain Development (GO:0007420),2/66,0.9476696218695422,0.9729871445072303,0.5207892882311487,0.027992079274211133,SHROOM2;UBE3A
human_GO_bp_2025.gmt,C21-steroid Hormone Biosynthetic Process (GO:0006700),1/1,0.06882888171411798,0.6109842574255044,40.63287086446105,108.73891905550649,CYP11B1
