##[["FCS genome report", 2, 1], {"git-rev": "v0.5.5-9-gfc836c1", "run-date": "Thu Apr 30 18:34:23 2026", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.698427, "asserted-div": "unkn:unknown", "inferred-primary-divs": ["anml:rodents", "anml:mammals", "anml:primates"], "corrected-primary-divs": ["anml:rodents", "anml:mammals", "anml:primates"], "species": "Octodon degus", "genome-hash": "a95b47bb9f3e2bd5"}}]
#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name
lcl|ptg000355l	1	58210	58210	EXCLUDE	anml:marsupials	50	Monodelphis domestica
lcl|ptg000374l	1	128056	128056	EXCLUDE	prok:firmicutes	76	Atopostipes suicloacalis
lcl|ptg000375l	1	384888	384888	EXCLUDE	prok:firmicutes	93	Atopostipes suicloacalis
lcl|ptg000377l	1	13139	13139	EXCLUDE	prok:g-proteobacteria	100	Psychrobacter sp. UBA2071
lcl|ptg000378l	1	31351	31351	EXCLUDE	prok:firmicutes	76	Atopostipes suicloacalis
lcl|ptg000379l	1	432515	432515	EXCLUDE	prok:firmicutes	83	Atopostipes suicloacalis
lcl|ptg000380l	1	47751	47751	EXCLUDE	prok:firmicutes	94	Atopostipes suicloacalis
lcl|ptg000381l	1	22621	22621	EXCLUDE	prok:g-proteobacteria	100	Psychrobacter sp. UBA6291
lcl|ptg000382l	1	46298	46298	EXCLUDE	prok:g-proteobacteria	100	Psychrobacter sp. UBA6291
lcl|ptg000383l	1	98945	98945	EXCLUDE	prok:firmicutes	93	Atopostipes suicloacalis
lcl|ptg000384l	1	10133	10133	EXCLUDE	prok:firmicutes	92	Ruoffia tabacinasalis
lcl|ptg000385l	1	111893	111893	EXCLUDE	prok:firmicutes	92	Atopostipes suicloacalis
lcl|ptg000386l	1	10981	10981	EXCLUDE	prok:firmicutes	97	Atopostipes suicloacalis
lcl|ptg000387l	1	15798	15798	EXCLUDE	prok:firmicutes	100	Ruoffia tabacinasalis
