Chromosome	Start	End	Overlap	density	midpoint
chr1	1	1000000	50548	0.050548	500000
chr1	500001	1500000	39632	0.039632	1000000
chr1	1000001	2000000	31714	0.031714	1500000
chr1	1500001	2500000	34749	0.034749	2000000
chr1	2000001	3000000	30494	0.030494	2500000
chr1	2500001	3500000	21167	0.021167	3000000
chr1	3000001	4000000	24447	0.024447	3500000
chr1	3500001	4500000	29971	0.029971	4000000
chr1	4000001	5000000	28151	0.028151	4500000
chr1	4500001	5500000	24321	0.024321	5000000
chr1	5000001	6000000	21404	0.021404	5500000
chr1	5500001	6500000	24352	0.024352	6000000
chr1	6000001	7000000	22232	0.022232	6500000
chr1	6500001	7500000	16578	0.016578	7000000
chr1	7000001	8000000	18093	0.018093	7500000
chr1	7500001	8500000	22346	0.022346	8000000
chr1	8000001	9000000	19311	0.019311	8500000
chr1	8500001	9500000	12808	0.012808	9000000
chr1	9000001	10000000	19692	0.019692	9500000
chr1	9500001	10500000	27907	0.027907	10000000
chr1	10000001	11000000	24997	0.024997	10500000
chr1	10500001	11500000	22265	0.022265	11000000
chr1	11000001	12000000	21918	0.021918	11500000
chr1	11500001	12500000	23640	0.02364	12000000
chr1	12000001	13000000	23736	0.023736	12500000
chr1	12500001	13500000	18355	0.018355	13000000
chr1	13000001	14000000	17247	0.017247	13500000
chr1	13500001	14500000	19776	0.019776	14000000
chr1	14000001	15000000	22093	0.022093	14500000
chr1	14500001	15500000	24380	0.02438	15000000
chr1	15000001	16000000	28381	0.028381	15500000
chr1	15500001	16500000	27053	0.027053	16000000
chr1	16000001	17000000	20662	0.020662	16500000
chr1	16500001	17500000	20364	0.020364	17000000
chr1	17000001	18000000	21854	0.021854	17500000
chr1	17500001	18500000	21968	0.021968	18000000
chr1	18000001	19000000	19462	0.019462	18500000
chr1	18500001	19500000	16032	0.016032	19000000
chr1	19000001	20000000	18966	0.018966	19500000
chr1	19500001	20500000	23502	0.023502	20000000
chr1	20000001	21000000	22664	0.022664	20500000
chr1	20500001	21500000	23118	0.023118	21000000
chr1	21000001	22000000	20853	0.020853	21500000
chr1	21500001	22500000	19824	0.019824	22000000
chr1	22000001	23000000	24997	0.024997	22500000
chr1	22500001	23500000	20422	0.020422	23000000
chr1	23000001	24000000	17126	0.017126	23500000
