chrom	start	end	count
chr1	0	1000000	659
chr1	1000000	2000000	573
chr1	2000000	3000000	481
chr1	3000000	4000000	461
chr1	4000000	5000000	565
chr1	5000000	6000000	555
chr1	6000000	7000000	418
chr1	7000000	8000000	413
chr1	8000000	9000000	453
chr1	9000000	10000000	365
chr1	10000000	11000000	549
chr1	11000000	12000000	546
chr1	12000000	13000000	441
chr1	13000000	14000000	330
chr1	14000000	15000000	411
chr1	15000000	16000000	442
chr1	16000000	17000000	345
chr1	17000000	18000000	456
chr1	18000000	19000000	396
chr1	19000000	20000000	451
chr1	20000000	21000000	555
chr1	21000000	22000000	537
chr1	22000000	23000000	561
chr1	23000000	24000000	351
chr1	24000000	25000000	516
chr1	25000000	26000000	430
chr1	26000000	27000000	368
chr1	27000000	28000000	381
chr1	28000000	29000000	448
chr1	29000000	30000000	490
chr1	30000000	31000000	439
chr1	31000000	32000000	446
chr1	32000000	33000000	509
chr1	33000000	34000000	449
chr1	34000000	35000000	783
chr1	35000000	36000000	438
chr1	36000000	37000000	482
chr1	37000000	38000000	347
chr1	38000000	39000000	341
chr1	39000000	40000000	462
chr1	40000000	41000000	496
chr1	41000000	42000000	714
chr1	42000000	43000000	440
chr1	43000000	44000000	343
chr1	44000000	45000000	409
chr1	45000000	46000000	405
chr1	46000000	47000000	565
chr1	47000000	48000000	381
chr1	48000000	49000000	335
chr1	49000000	50000000	390
chr1	50000000	51000000	443
chr1	51000000	52000000	346
chr1	52000000	53000000	1002
chr1	53000000	54000000	268
chr1	54000000	55000000	316
chr1	55000000	56000000	419
chr1	56000000	57000000	327
chr1	57000000	58000000	349
chr1	58000000	59000000	427
chr1	59000000	60000000	494
chr1	60000000	61000000	575
chr1	61000000	62000000	456
chr1	62000000	63000000	361
chr1	63000000	64000000	518
chr1	64000000	65000000	380
chr1	65000000	66000000	382
chr1	66000000	67000000	425
chr1	67000000	68000000	384
chr1	68000000	69000000	402
chr1	69000000	70000000	433
chr1	70000000	71000000	360
chr1	71000000	72000000	316
chr1	72000000	73000000	460
chr1	73000000	74000000	493
chr1	74000000	75000000	360
chr1	75000000	76000000	514
chr1	76000000	77000000	639
chr1	77000000	78000000	384
chr1	78000000	79000000	371
chr1	79000000	80000000	316
chr1	80000000	81000000	373
chr1	81000000	82000000	375
chr1	82000000	83000000	402
chr1	83000000	84000000	402
chr1	84000000	85000000	400
chr1	85000000	86000000	384
chr1	86000000	87000000	509
chr1	87000000	88000000	418
chr1	88000000	89000000	318
chr1	89000000	90000000	342
chr1	90000000	91000000	471
chr1	91000000	92000000	717
chr1	92000000	93000000	330
chr1	93000000	94000000	610
chr1	94000000	95000000	380
chr1	95000000	96000000	384
chr1	96000000	97000000	360
chr1	97000000	98000000	329
chr1	98000000	99000000	305
