gene	tier	chrom	region_start	region_end	region_length	bases_covered	mean_depth	median_depth	sum_depth	min_depth	max_depth	std_depth	pct_zero	base_gene	num_copies	gene_length	Strand	source	is_paralog
LOC111814891	T3	chrX	20544	35066	14522	14522	22.03009227379149	21	319921.0	14	28	2.7655714032297642	0.0	LOC111814891	1.0	4522.0	-	Liftoff	False
36377at314147	BUSCO	chrX	22395	197209	174814	174814	25.08427814705916	25	4385083.0	11	36	4.946911943243206	0.0						
VAMP7	T4	chrX	90260	139513	49253	49253	24.831786896229673	25	1223040.0	15	31	2.662215756880664	0.0	VAMP7	2.0	39253.0	-	Liftoff	False
SPRY3	T4	chrX	179598	197686	18088	18088	30.499281291463955	31	551671.0	24	36	2.817616819790458	0.0	SPRY3	1.0	8088.0	-	Liftoff	False
31282at314147	BUSCO	chrX	180699	191555	10856	10856	31.489959469417833	32	341855.0	24	36	2.9065351108501796	0.0						
LOC101572155	T3	chrX	242131	254699	12568	12568	21.930856142584343	22	275627.0	15	30	3.6643780662834926	0.0	LOC101572155	1.0	2568.0	-	Liftoff	False
TMLHE	T3	chrX	354138	520200	166062	166062	17.94349098529465	19	2979732.0	6	26	3.917518737944406	0.0	TMLHE	1.0	156062.0	+	Liftoff	False
18970at314147	BUSCO	chrX	470774	519038	48264	48264	17.3070611636002	17	835308.0	6	25	4.949407041963349	0.0						
H2AB2	T3	chrX	567359	577950	10591	10591	11.085261070720422	10	117404.0	7	19	2.7657755895515126	0.0	H2AB2	1.0	591.0	-	AUGUSTUS	False
CLIC2	T4	chrX	613113	644104	30991	30991	24.628537317285662	25	763263.0	15	32	3.503464598468258	0.0	CLIC2	1.0	20991.0	+	Liftoff	False
RAB39B	T4	chrX	673070	688099	15029	15029	23.52245658393772	25	353519.0	12	29	4.052057214473571	0.0	RAB39B	1.0	5029.0	+	Liftoff	False
35203at314147	BUSCO	chrX	673373	686907	13534	13534	23.320599970444807	25	315621.0	12	29	4.040670992846101	0.0						
VBP1	T3	chrX	701340	742620	41280	41280	19.03253391472868	19	785663.0	7	30	3.0814575281643637	0.0	VBP1	1.0	31280.0	-	Liftoff	False
37401at314147	BUSCO	chrX	704641	742596	37955	37955	19.187985772625478	19	728280.0	7	30	3.1483318942842495	0.0						
PICALM-L1	T2	chrX	753423	827722	74299	74299	22.21813214175157	22	1650785.0	9	32	4.719011692288048	0.0	PICALM	2.0	64299.0	-	Liftoff	True
LOC111814601	T4	chrX	849698	859805	10107	10107	12.563174037795587	12	126976.0	7	18	2.832349511886146	0.0	LOC111814601	1.0	107.0	-	Liftoff	False
BRCC3	T4	chrX	902903	931313	28410	28410	17.543892995424148	17	498422.0	10	25	3.310430463988966	0.0	BRCC3	2.0	18410.0	-	Liftoff	False
LOC111814603	T4	chrX	918327	928452	10125	10125	15.34241975308642	15	155342.0	11	18	1.1138557530587976	0.0	LOC111814603	1.0	125.0	+	Liftoff	False
CMC4	T3	chrX	921709	941307	19598	19598	15.695785284212675	16	307606.0	10	19	1.6558454821834128	0.0	CMC4	2.0	9598.0	+	Liftoff	False
MTCP1	T3	chrX	921874	937539	15665	15665	15.484774976061283	16	242569.0	10	19	1.6526027954338998	0.0	MTCP1	1.0	5665.0	+	Liftoff	False
42806at314147	BUSCO	chrX	926838	937303	10465	10465	15.628475871954134	16	163552.0	10	19	1.8488904793937546	0.0						
FUNDC2	T3	chrX	936449	968886	32437	32437	18.741468076579213	18	607917.0	12	25	2.948269718551726	0.0	FUNDC2	2.0	22437.0	-	Liftoff	False
F8	T3	chrX	965288	1138279	172991	172991	17.56702371799689	18	3038937.0	4	29	3.7883833773156455	0.0	F8	1.0	162991.0	+	Liftoff	False
565at314147	BUSCO	chrX	965566	1131900	166334	166334	17.35613885315089	17	2886916.0	4	29	3.684300221164009	0.0						
LOC105741258	T3	chrX	1016574	1027093	10519	10519	19.383116265804734	19	203891.0	14	23	1.8469338637593888	0.0	LOC105741258	1.0	519.0	+	Liftoff	False
LOC101579454	T3	chrX	1093761	1104825	11064	11064	16.09996384671005	16	178130.0	11	23	2.249315795092749	0.0	LOC101579454	1.0	1064.0	-	Liftoff	False
17559at314147	BUSCO	chrX	1147216	1182890	35674	35674	15.936003812300275	15	568501.0	6	27	4.642125887462035	0.0						
MPP1	T4	chrX	1150113	1184309	34196	34196	15.416042812024799	15	527167.0	6	27	4.178802706621182	0.0	MPP1	1.0	24196.0	+	Liftoff	False
DKC1	T3	chrX	1172684	1195572	22888	22888	17.911613072352324	20	409961.0	6	24	4.353985673644596	0.0	DKC1	1.0	12888.0	-	Liftoff	False
LOC111814602	T3	chrX	1180973	1191093	10120	10120	20.372430830039526	20	206169.0	16	23	1.2864952313916145	0.0	LOC111814602	1.0	120.0	-	Liftoff	False
15088at314147	BUSCO	chrX	1204471	1293699	89228	89228	16.923521764468553	16	1510052.0	5	28	3.505779946735101	0.0						
GAB3	T4	chrX	1204472	1297029	92557	92557	17.000950765474247	16	1573557.0	5	28	3.4709313596364333	0.0	GAB3	1.0	82557.0	+	Liftoff	False
LAGE3-L1	T2	chrX	1364953	1379495	14542	14542	16.903314537202586	17	245808.0	10	21	1.7688229747341477	0.0	LAGE3	3.0	4542.0	+	Liftoff	True
OR5AR1	T4	chrX	1490146	1501085	10939	10939	19.569521894140234	20	214071.0	14	23	1.7073021332053433	0.0	OR5AR1	1.0	939.0	-	Liftoff	False
LOC101565997	T4	chrX	1503785	1514751	10966	10966	16.532919934342512	16	181300.0	13	19	1.3203611739738534	0.0	LOC101565997	1.0	966.0	+	Liftoff	False
IKBKG	T3	chrX	1616982	1651966	34984	34984	12.495026297736107	13	437126.0	5	17	2.50933048787215	0.0	IKBKG	1.0	24984.0	-	Liftoff	False
26774at314147	BUSCO	chrX	1619829	1637955	18126	18126	12.623469049983449	13	228813.0	7	16	1.655826652666837	0.0						
G6PD	T3	chrX	1631928	1655351	23423	23423	12.045211971139478	12	282135.0	5	17	2.620132632980938	0.0	G6PD	1.0	13423.0	+	Liftoff	False
FAM3A	T4	chrX	1651007	1668597	17590	17590	12.765662308129619	13	224548.0	7	17	2.3127554946561086	0.0	FAM3A	1.0	7590.0	+	Liftoff	False
35140at314147	BUSCO	chrX	1651200	1667982	16782	16782	12.91353831486116	13	216715.0	7	17	2.2473324551116907	0.0						
SLC10A3	T3	chrX	1694641	1708261	13620	13620	10.987958883994127	11	149656.0	5	13	1.4487329330758252	0.0	SLC10A3	1.0	3620.0	+	Liftoff	False
23859at314147	BUSCO	chrX	1696540	1707966	11426	11426	10.824610537370909	11	123682.0	6	13	1.2943521201340231	0.0						
UBL4A	T4	chrX	1698261	1711075	12814	12814	9.67777430934915	10	124011.0	5	13	1.932660036950459	0.0	UBL4A	1.0	2814.0	+	Liftoff	False
41905at314147	BUSCO	chrX	1698749	1709740	10991	10991	9.947229551451187	10	109330.0	5	13	1.644874785435593	0.0						
41170at314147	BUSCO	chrX	1711060	1722005	10945	10945	11.894106898127	12	130181.0	6	15	2.370410521159583	0.0						
LAGE3	T4	chrX	1711437	1722272	10835	10835	12.149884633133365	12	131644.0	6	15	2.217033262891443	0.0	LAGE3	3.0	835.0	+	Liftoff	False
PLXNA3	T3	chrX	1736313	1760349	24036	24036	11.749916791479448	11	282421.0	7	17	2.3058470996134464	0.0	PLXNA3	1.0	14036.0	-	Liftoff	False
813at314147	BUSCO	chrX	1737082	1758682	21600	21600	11.671064814814814	11	252095.0	7	17	2.2635590984322347	0.0						
FAM50A	T3	chrX	1757330	1773766	16436	16436	13.432952056461426	12	220784.0	8	19	2.552933323604689	0.0	FAM50A	1.0	6436.0	-	Liftoff	False
35452at314147	BUSCO	chrX	1757762	1773652	15890	15890	13.47413467589679	13	214104.0	8	19	2.5463342443232593	0.0						
GDI1	T4	chrX	1763766	1780737	16971	16971	15.69984090507336	16	266442.0	9	19	1.9603185844032098	0.0	GDI1	1.0	6971.0	-	Liftoff	False
19408at314147	BUSCO	chrX	1765126	1780422	15296	15296	16.08897751046025	17	246097.0	10	19	1.5613311864438142	0.0						
ATP6AP1	T4	chrX	1771124	1788157	17033	17033	14.91217049257324	15	253999.0	8	19	2.146906163275159	0.0	ATP6AP1	1.0	7033.0	-	Liftoff	False
21596at314147	BUSCO	chrX	1771700	1788019	16319	16319	14.890924689012808	15	243005.0	8	19	2.1884085659168604	0.0						
TAZ	T4	chrX	1803052	1821490	18438	18438	12.263911487146112	12	226122.0	7	16	2.674922882181488	0.0	TAZ	1.0	8438.0	-	Liftoff	False
29261at314147	BUSCO	chrX	1805022	1821189	16167	16167	12.622317065627513	13	204065.0	7	16	2.5835439948591943	0.0						
DNASE1L1	T3	chrX	1814437	1834455	20018	20018	10.904885602957338	10	218294.0	2	16	3.610873930216289	0.0	DNASE1L1	1.0	10018.0	+	Liftoff	False
RPL10	T3	chrX	1824015	1836987	12972	12972	8.765880357693494	9	113711.0	2	13	2.3451746578097974	0.0	RPL10	7.0	2972.0	-	Liftoff	False
LOC111813742	T3	chrX	1824547	1834681	10134	10134	8.019932899151371	9	81274.0	2	11	1.8838896508382792	0.0	LOC111813742	1.0	134.0	-	Liftoff	False
LOC111813739	T4	chrX	1838129	1848270	10141	10141	9.28724977812839	9	94182.0	6	12	1.2351969907617164	0.0	LOC111813739	1.0	141.0	-	Liftoff	False
EMD	T4	chrX	1838703	1851301	12598	12598	9.253294173678361	9	116573.0	6	11	1.022944362330116	0.0	EMD	1.0	2598.0	-	Liftoff	False
37881at314147	BUSCO	chrX	1839022	1851144	12122	12122	9.211103778254413	9	111657.0	6	11	1.0025863860183712	0.0						
FLNA	T4	chrX	1845758	1879204	33446	33446	10.847694791604377	10	362812.0	6	16	2.5764873970107978	0.0	FLNA	1.0	23446.0	+	Liftoff	False
343at314147	BUSCO	chrX	1848748	1878776	30028	30028	11.003296922871986	11	330407.0	6	16	2.6645192377308	0.0						
TKTL1	T4	chrX	1886031	1918135	32104	32104	12.258752803388985	12	393555.0	6	17	2.021605981522008	0.0	TKTL1	1.0	22104.0	-	Liftoff	False
