Chromosome	Start	End	total_segdup_intervals	segdup_bp	percent_segdup
chr1	0	100000	1	88079	88.079
chr1	50000	150000	1	100000	100.0
chr1	100000	200000	1	53124	53.124
chr1	150000	250000	2	5907	5.907
chr1	200000	300000	2	5599	5.599
chr1	250000	350000	1	2816	2.8160000000000003
chr1	300000	400000	0	0	0.0
chr1	350000	450000	0	0	0.0
chr1	400000	500000	3	18336	18.336
chr1	450000	550000	3	68336	68.336
chr1	500000	600000	1	95279	95.279
chr1	550000	650000	1	45279	45.279
chr1	600000	700000	3	4360	4.36
chr1	650000	750000	6	8064	8.064
chr1	700000	800000	3	3704	3.7039999999999997
chr1	750000	850000	2	4322	4.322
chr1	800000	900000	3	8204	8.204
chr1	850000	950000	1	3882	3.882
chr1	900000	1000000	1	4464	4.4639999999999995
chr1	950000	1050000	1	4464	4.4639999999999995
chr1	1000000	1100000	0	0	0.0
chr1	1050000	1150000	1	5457	5.457
chr1	1100000	1200000	3	17409	17.409
chr1	1150000	1250000	3	44292	44.292
chr1	1200000	1300000	1	82340	82.34
chr1	1250000	1350000	1	98385	98.385
chr1	1300000	1400000	2	57362	57.362
chr1	1350000	1450000	5	20614	20.613999999999997
chr1	1400000	1500000	6	35032	35.032000000000004
chr1	1450000	1550000	3	32074	32.074000000000005
chr1	1500000	1600000	4	30464	30.464000000000002
chr1	1550000	1650000	5	32290	32.29
chr1	1600000	1700000	5	42200	42.199999999999996
chr1	1650000	1750000	3	31695	31.695
chr1	1700000	1800000	1	1520	1.52
chr1	1750000	1850000	2	14748	14.748
chr1	1800000	1900000	1	13228	13.228000000000002
chr1	1850000	1950000	2	8191	8.190999999999999
chr1	1900000	2000000	3	15531	15.531
chr1	1950000	2050000	2	7340	7.340000000000001
chr1	2000000	2100000	0	0	0.0
chr1	2050000	2150000	1	1389	1.389
chr1	2100000	2200000	2	15398	15.398
chr1	2150000	2250000	4	22782	22.782
chr1	2200000	2300000	4	9242	9.242
chr1	2250000	2350000	3	4160	4.16
chr1	2300000	2400000	3	5666	5.666
chr1	2350000	2450000	2	2996	2.996
chr1	2400000	2500000	1	1021	1.0210000000000001
chr1	2450000	2550000	0	0	0.0
chr1	2500000	2600000	0	0	0.0
chr1	2550000	2650000	0	0	0.0
chr1	2600000	2700000	0	0	0.0
chr1	2650000	2750000	1	2278	2.278
chr1	2700000	2800000	2	3066	3.066
chr1	2750000	2850000	2	2873	2.8729999999999998
chr1	2800000	2900000	2	4090	4.09
chr1	2850000	2950000	2	2659	2.659
chr1	2900000	3000000	1	654	0.654
chr1	2950000	3050000	3	3447	3.447
chr1	3000000	3100000	5	6528	6.5280000000000005
chr1	3050000	3150000	2	3081	3.081
chr1	3100000	3200000	0	0	0.0
chr1	3150000	3250000	0	0	0.0
chr1	3200000	3300000	1	5378	5.378
chr1	3250000	3350000	3	27870	27.87
chr1	3300000	3400000	5	47771	47.771
chr1	3350000	3450000	3	29381	29.381
chr1	3400000	3500000	2	4102	4.102
chr1	3450000	3550000	2	9382	9.382
chr1	3500000	3600000	3	11200	11.200000000000001
chr1	3550000	3650000	2	3450	3.45
chr1	3600000	3700000	1	1632	1.6320000000000001
chr1	3650000	3750000	0	0	0.0
chr1	3700000	3800000	2	7117	7.117
chr1	3750000	3850000	2	7117	7.117
chr1	3800000	3900000	0	0	0.0
chr1	3850000	3950000	0	0	0.0
chr1	3900000	4000000	0	0	0.0
chr1	3950000	4050000	1	1450	1.4500000000000002
chr1	4000000	4100000	1	1450	1.4500000000000002
chr1	4050000	4150000	2	2262	2.262
chr1	4100000	4200000	3	6207	6.207
chr1	4150000	4250000	2	8888	8.888
chr1	4200000	4300000	2	4943	4.9430000000000005
chr1	4250000	4350000	1	759	0.759
chr1	4300000	4400000	2	6602	6.601999999999999
chr1	4350000	4450000	1	5843	5.843
chr1	4400000	4500000	1	1247	1.247
chr1	4450000	4550000	2	2003	2.003
chr1	4500000	4600000	2	4259	4.259
chr1	4550000	4650000	2	10455	10.455
chr1	4600000	4700000	2	8358	8.358
chr1	4650000	4750000	1	1406	1.406
chr1	4700000	4800000	0	0	0.0
chr1	4750000	4850000	0	0	0.0
chr1	4800000	4900000	0	0	0.0
chr1	4850000	4950000	0	0	0.0
chr1	4900000	5000000	0	0	0.0
chr1	4950000	5050000	0	0	0.0
chr1	5000000	5100000	0	0	0.0
chr1	5050000	5150000	1	2508	2.508
chr1	5100000	5200000	1	2508	2.508
chr1	5150000	5250000	1	3576	3.576
chr1	5200000	5300000	2	5788	5.788
chr1	5250000	5350000	1	2212	2.212
chr1	5300000	5400000	0	0	0.0
chr1	5350000	5450000	1	1601	1.601
chr1	5400000	5500000	1	1601	1.601
chr1	5450000	5550000	1	1188	1.188
chr1	5500000	5600000	2	9117	9.117
chr1	5550000	5650000	3	11005	11.004999999999999
chr1	5600000	5700000	1	3076	3.076
chr1	5650000	5750000	0	0	0.0
