# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "interferon_singlecopy_genes.gff" "-o" "interferon_singlecopy_counts.tsv" "-g" "ID" "-t" "gene" "-p" "-T" "16" "--primary" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216293_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216294_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216295_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216296_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216297_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216298_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216299_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216300_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216301_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216302_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216303_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216304_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216305_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216306_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216307_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216308_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216309_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216310_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216311_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216312_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216313_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216314_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216315_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216316_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216317_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216318_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216319_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216320_Aligned.sortedByCoord.out.bam" "/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216321_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216293_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216294_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216295_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216296_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216297_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216298_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216299_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216300_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216301_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216302_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216303_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216304_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216305_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216306_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216307_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216308_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216309_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216310_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216311_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216312_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216313_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216314_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216315_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216316_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216317_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216318_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216319_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216320_Aligned.sortedByCoord.out.bam	/tscc/projects/ps-renlab2/jhc103/degu-genome-assembly-proj/figure/paralog-alignment-visualization/SRR17216321_Aligned.sortedByCoord.out.bam
gene-Syncrip	chr15	14303053	14342384	-	39332	12168	5438	4756	4144	3137	935	9325	6814	4055	4002	2772	801	757	6021	4369	3640	3132	10637	5298	3873	1101	3843	8411	699	4833	2630	2640	4992	1807
gene-Gbp1	chr21	52601480	53023304	+	421825	1275	533	5258	2069	6375	3211	2625	672	2073	1489	5910	974	294	507	2712	1478	7151	8205	492	2550	543	16587	14033	325	2000	1182	6387	694	1889
gene-Casp1	chr25	26726155	26739140	-	12986	485	90	442	255	285	510	1172	166	424	177	162	338	84	141	422	246	147	2583	120	459	72	236	3289	127	576	161	159	140	686
