Chromosome	Start	End	Overlap	density	midpoint
chr1	1	1000000	504205	0.504205	500000
chr1	500001	1500000	435483	0.435483	1000000
chr1	1000001	2000000	425775	0.425775	1500000
chr1	1500001	2500000	401233	0.401233	2000000
chr1	2000001	3000000	481556	0.481556	2500000
chr1	2500001	3500000	534622	0.534622	3000000
chr1	3000001	4000000	421620	0.42162	3500000
chr1	3500001	4500000	347760	0.34776	4000000
chr1	4000001	5000000	397122	0.397122	4500000
chr1	4500001	5500000	417181	0.417181	5000000
chr1	5000001	6000000	391248	0.391248	5500000
chr1	5500001	6500000	379156	0.379156	6000000
chr1	6000001	7000000	367848	0.367848	6500000
chr1	6500001	7500000	357509	0.357509	7000000
chr1	7000001	8000000	331780	0.33178	7500000
chr1	7500001	8500000	354594	0.354594	8000000
chr1	8000001	9000000	337017	0.337017	8500000
chr1	8500001	9500000	284684	0.284684	9000000
chr1	9000001	10000000	273333	0.273333	9500000
chr1	9500001	10500000	312832	0.312832	10000000
chr1	10000001	11000000	362559	0.362559	10500000
chr1	10500001	11500000	381546	0.381546	11000000
chr1	11000001	12000000	358256	0.358256	11500000
chr1	11500001	12500000	301864	0.301864	12000000
chr1	12000001	13000000	317780	0.31778	12500000
chr1	12500001	13500000	305194	0.305194	13000000
chr1	13000001	14000000	263447	0.263447	13500000
chr1	13500001	14500000	275332	0.275332	14000000
chr1	14000001	15000000	301172	0.301172	14500000
chr1	14500001	15500000	343421	0.343421	15000000
chr1	15000001	16000000	453968	0.453968	15500000
chr1	15500001	16500000	372566	0.372566	16000000
chr1	16000001	17000000	211603	0.211603	16500000
chr1	16500001	17500000	266618	0.266618	17000000
chr1	17000001	18000000	264080	0.26408	17500000
chr1	17500001	18500000	242734	0.242734	18000000
chr1	18000001	19000000	286319	0.286319	18500000
chr1	18500001	19500000	245575	0.245575	19000000
chr1	19000001	20000000	307888	0.307888	19500000
chr1	19500001	20500000	419498	0.419498	20000000
chr1	20000001	21000000	419322	0.419322	20500000
chr1	20500001	21500000	430781	0.430781	21000000
chr1	21000001	22000000	460154	0.460154	21500000
chr1	21500001	22500000	459061	0.459061	22000000
chr1	22000001	23000000	466751	0.466751	22500000
chr1	22500001	23500000	361383	0.361383	23000000
chr1	23000001	24000000	263090	0.26309	23500000
chr1	23500001	24500000	336998	0.336998	24000000
chr1	24000001	25000000	359040	0.35904	24500000
chr1	24500001	25500000	364994	0.364994	25000000
chr1	25000001	26000000	442772	0.442772	25500000
chr1	25500001	26500000	513880	0.51388	26000000
chr1	26000001	27000000	500823	0.500823	26500000
chr1	26500001	27500000	462179	0.462179	27000000
chr1	27000001	28000000	487729	0.487729	27500000
chr1	27500001	28500000	543214	0.543214	28000000
chr1	28000001	29000000	503888	0.503888	28500000
chr1	28500001	29500000	426626	0.426626	29000000
chr1	29000001	30000000	378228	0.378228	29500000
chr1	29500001	30500000	372808	0.372808	30000000
chr1	30000001	31000000	451877	0.451877	30500000
chr1	30500001	31500000	530621	0.530621	31000000
chr1	31000001	32000000	481630	0.48163	31500000
chr1	31500001	32500000	379401	0.379401	32000000
