Chromosome	Start	End	total_segdup_intervals	segdup_bp	percent_segdup
chr1	0	5000000	3	377670	7.553400000000001
chr1	100000	5100000	3	289591	5.79182
chr1	200000	5200000	2	236467	4.72934
chr1	300000	5300000	2	236467	4.72934
chr1	400000	5400000	2	236467	4.72934
chr1	500000	5500000	2	226004	4.52008
chr1	600000	5600000	1	130725	2.6145
chr1	700000	5700000	1	130725	2.6145
chr1	800000	5800000	1	130725	2.6145
chr1	900000	5900000	1	130725	2.6145
chr1	1000000	6000000	1	130725	2.6145
chr1	1100000	6100000	1	130725	2.6145
chr1	1200000	6200000	1	130725	2.6145
chr1	1300000	6300000	1	48385	0.9677
chr1	1400000	6400000	0	0	0.0
chr1	1500000	6500000	0	0	0.0
chr1	1600000	6600000	0	0	0.0
chr1	1700000	6700000	0	0	0.0
chr1	1800000	6800000	0	0	0.0
chr1	1900000	6900000	0	0	0.0
chr1	2000000	7000000	0	0	0.0
chr1	2100000	7100000	0	0	0.0
chr1	2200000	7200000	0	0	0.0
chr1	2300000	7300000	0	0	0.0
chr1	2400000	7400000	0	0	0.0
chr1	2500000	7500000	0	0	0.0
chr1	2600000	7600000	0	0	0.0
chr1	2700000	7700000	0	0	0.0
chr1	2800000	7800000	0	0	0.0
chr1	2900000	7900000	0	0	0.0
chr1	3000000	8000000	0	0	0.0
chr1	3100000	8100000	0	0	0.0
chr1	3200000	8200000	0	0	0.0
chr1	3300000	8300000	0	0	0.0
chr1	3400000	8400000	0	0	0.0
chr1	3500000	8500000	0	0	0.0
chr1	3600000	8600000	0	0	0.0
chr1	3700000	8700000	0	0	0.0
chr1	3800000	8800000	0	0	0.0
chr1	3900000	8900000	0	0	0.0
chr1	4000000	9000000	0	0	0.0
chr1	4100000	9100000	0	0	0.0
chr1	4200000	9200000	0	0	0.0
chr1	4300000	9300000	0	0	0.0
chr1	4400000	9400000	0	0	0.0
chr1	4500000	9500000	0	0	0.0
chr1	4600000	9600000	0	0	0.0
chr1	4700000	9700000	0	0	0.0
chr1	4800000	9800000	0	0	0.0
chr1	4900000	9900000	0	0	0.0
chr1	5000000	10000000	0	0	0.0
chr1	5100000	10100000	1	36330	0.7266
chr1	5200000	10200000	1	36330	0.7266
chr1	5300000	10300000	1	36330	0.7266
chr1	5400000	10400000	1	36330	0.7266
chr1	5500000	10500000	1	36330	0.7266
chr1	5600000	10600000	1	36330	0.7266
chr1	5700000	10700000	1	36330	0.7266
chr1	5800000	10800000	1	36330	0.7266
chr1	5900000	10900000	1	36330	0.7266
chr1	6000000	11000000	1	36330	0.7266
chr1	6100000	11100000	1	36330	0.7266
chr1	6200000	11200000	1	36330	0.7266
chr1	6300000	11300000	1	36330	0.7266
chr1	6400000	11400000	1	36330	0.7266
chr1	6500000	11500000	1	36330	0.7266
chr1	6600000	11600000	1	36330	0.7266
chr1	6700000	11700000	1	36330	0.7266
chr1	6800000	11800000	1	36330	0.7266
chr1	6900000	11900000	1	36330	0.7266
chr1	7000000	12000000	1	36330	0.7266
chr1	7100000	12100000	1	36330	0.7266
chr1	7200000	12200000	1	36330	0.7266
chr1	7300000	12300000	1	36330	0.7266
chr1	7400000	12400000	1	36330	0.7266
chr1	7500000	12500000	1	36330	0.7266
chr1	7600000	12600000	1	36330	0.7266
chr1	7700000	12700000	1	36330	0.7266
chr1	7800000	12800000	1	36330	0.7266
chr1	7900000	12900000	1	36330	0.7266
chr1	8000000	13000000	1	36330	0.7266
chr1	8100000	13100000	1	36330	0.7266
chr1	8200000	13200000	1	36330	0.7266
chr1	8300000	13300000	1	36330	0.7266
chr1	8400000	13400000	1	36330	0.7266
chr1	8500000	13500000	1	36330	0.7266
chr1	8600000	13600000	1	36330	0.7266
chr1	8700000	13700000	1	36330	0.7266
chr1	8800000	13800000	1	36330	0.7266
chr1	8900000	13900000	1	36330	0.7266
chr1	9000000	14000000	1	36330	0.7266
chr1	9100000	14100000	1	36330	0.7266
chr1	9200000	14200000	1	36330	0.7266
chr1	9300000	14300000	1	36330	0.7266
chr1	9400000	14400000	1	36330	0.7266
chr1	9500000	14500000	1	36330	0.7266
chr1	9600000	14600000	1	36330	0.7266
chr1	9700000	14700000	1	36330	0.7266
chr1	9800000	14800000	1	36330	0.7266
chr1	9900000	14900000	1	36330	0.7266
chr1	10000000	15000000	1	36330	0.7266
chr1	10100000	15100000	0	0	0.0
chr1	10200000	15200000	0	0	0.0
chr1	10300000	15300000	0	0	0.0
chr1	10400000	15400000	0	0	0.0
chr1	10500000	15500000	0	0	0.0
chr1	10600000	15600000	0	0	0.0
chr1	10700000	15700000	0	0	0.0
chr1	10800000	15800000	0	0	0.0
chr1	10900000	15900000	0	0	0.0
chr1	11000000	16000000	0	0	0.0
chr1	11100000	16100000	0	0	0.0
chr1	11200000	16200000	0	0	0.0
chr1	11300000	16300000	0	0	0.0
chr1	11400000	16400000	0	0	0.0
chr1	11500000	16500000	0	0	0.0
chr1	11600000	16600000	0	0	0.0
chr1	11700000	16700000	0	0	0.0
chr1	11800000	16800000	0	0	0.0
chr1	11900000	16900000	0	0	0.0
chr1	12000000	17000000	0	0	0.0
chr1	12100000	17100000	0	0	0.0
chr1	12200000	17200000	0	0	0.0
chr1	12300000	17300000	0	0	0.0
chr1	12400000	17400000	0	0	0.0
chr1	12500000	17500000	0	0	0.0
chr1	12600000	17600000	0	0	0.0
chr1	12700000	17700000	0	0	0.0
chr1	12800000	17800000	0	0	0.0
chr1	12900000	17900000	0	0	0.0
chr1	13000000	18000000	0	0	0.0
chr1	13100000	18100000	0	0	0.0
chr1	13200000	18200000	0	0	0.0
chr1	13300000	18300000	0	0	0.0
chr1	13400000	18400000	0	0	0.0
chr1	13500000	18500000	0	0	0.0
chr1	13600000	18600000	0	0	0.0
chr1	13700000	18700000	0	0	0.0
chr1	13800000	18800000	0	0	0.0
chr1	13900000	18900000	0	0	0.0
chr1	14000000	19000000	0	0	0.0
chr1	14100000	19100000	0	0	0.0
chr1	14200000	19200000	0	0	0.0
chr1	14300000	19300000	0	0	0.0
chr1	14400000	19400000	0	0	0.0
chr1	14500000	19500000	0	0	0.0
chr1	14600000	19600000	0	0	0.0
chr1	14700000	19700000	0	0	0.0
chr1	14800000	19800000	0	0	0.0
chr1	14900000	19900000	0	0	0.0
chr1	15000000	20000000	0	0	0.0
chr1	15100000	20100000	0	0	0.0
chr1	15200000	20200000	0	0	0.0
chr1	15300000	20300000	0	0	0.0
chr1	15400000	20400000	0	0	0.0
chr1	15500000	20500000	0	0	0.0
chr1	15600000	20600000	0	0	0.0
chr1	15700000	20700000	0	0	0.0
chr1	15800000	20800000	0	0	0.0
chr1	15900000	20900000	0	0	0.0
chr1	16000000	21000000	0	0	0.0
chr1	16100000	21100000	0	0	0.0
chr1	16200000	21200000	0	0	0.0
chr1	16300000	21300000	0	0	0.0
chr1	16400000	21400000	0	0	0.0
chr1	16500000	21500000	0	0	0.0
chr1	16600000	21600000	0	0	0.0
chr1	16700000	21700000	0	0	0.0
chr1	16800000	21800000	0	0	0.0
chr1	16900000	21900000	0	0	0.0
chr1	17000000	22000000	0	0	0.0
chr1	17100000	22100000	0	0	0.0
chr1	17200000	22200000	0	0	0.0
chr1	17300000	22300000	0	0	0.0
chr1	17400000	22400000	0	0	0.0
chr1	17500000	22500000	0	0	0.0
chr1	17600000	22600000	0	0	0.0
chr1	17700000	22700000	0	0	0.0
chr1	17800000	22800000	0	0	0.0
chr1	17900000	22900000	0	0	0.0
chr1	18000000	23000000	0	0	0.0
chr1	18100000	23100000	0	0	0.0
