	Chromosome	Start	End	Length	gene_count	repeat_count	unknown_repeat_count	LINE_repeat_count	LTR_repeat_count	SINE_repeat_count	DNA_transposon_repeat_count	Cumulative_Length	Cumulative_Length_Pct
16980	chr25	47474050	60230240	12756190	0	70409	35619	7885	14953	11375	0	12756190	2.4419991438734283
28780	chrY	2521631	15064236	12542605	6	30536	13671	4365	3385	6728	59	25298795	4.843110343372854
28813	chrY	27636069	39812674	12176605	12	29129	13216	4121	3111	6419	62	37475400	7.174155818964305
3605	chr12	3	11686911	11686908	1	12030	9917	364	527	852	2	49162308	9.41145546176733
20774	chr4	138175246	148686784	10511538	10	22714	9329	3862	2337	5257	114	59673846	11.423746498259653
20755	chr4	114773420	123317242	8543822	9	20279	8721	3192	2126	4677	95	68217668	13.059345059382292
19716	chr4	1729487	9353411	7623924	5	14865	5863	2389	1564	3531	75	75841592	14.518841655227607
28819	chrY	48796916	56265001	7468085	0	17551	7613	2582	1942	3891	61	83309677	15.948504993291246
2700	chr11	0	6855930	6855930	0	15020	10556	257	173	3480	0	90165607	17.26097957939071
12346	chr2	83195513	89926955	6731442	1	11932	7315	1162	854	2021	5	96897049	18.54962263041407
20741	chr4	105719001	112387419	6668418	7	16240	7241	2346	1636	3776	30	103565467	19.826200593504158
8107	chr16	58520693	64760670	6239977	0	14248	6184	21	6202	53	0	109805444	21.020759352176604
28821	chrY	56727662	62711898	5984236	1	14425	6658	2043	1503	3164	19	115789680	22.16635997342296
21848	chr5	137226790	142907102	5680312	0	17019	13082	1513	712	1470	0	121469992	23.253778476983502
12347	chr2	89928858	95539228	5610370	6	14120	6620	1931	1406	3186	26	127080362	24.327807535567075
28816	chrY	43008627	48075692	5067065	1	11846	5299	1661	1325	2561	30	132147427	25.297828238610148
18480	chr3	14153306	19145499	4992193	4	12745	6180	1666	1201	2778	6	137139620	26.253515715203935
3604	chr11	119319394	124007601	4688207	0	3487	2310	93	139	792	0	141827827	27.151009205054855
20761	chr4	123695900	128217771	4521871	4	1540	566	266	242	325	7	146349698	28.016659929190048
17136	chr26	22111395	26355856	4244461	4	10252	4591	1514	1080	2259	28	150594159	28.82920428045827
28789	chrY	20523559	24682941	4159382	2	9868	4425	1440	1060	2178	29	154753541	29.62546141390035
25544	chr8	126042369	130180031	4137662	1	6167	1780	19	3205	445	0	158891203	30.41756054864494
12353	chr2	97453623	101587197	4133574	2	10684	5180	1335	1020	2396	5	163024777	31.20887709136949
20771	chr4	134319196	138126923	3807727	5	8665	3215	1641	987	1983	41	166832504	31.9378146561207
16532	chr24	50963269	54659338	3696069	0	38	18	0	9	4	0	170528573	32.64537681486066
28944	chrY	79846224	83211903	3365679	0	5510	1953	1141	945	767	4	173894252	33.28969030004337
12358	chr2	109527111	112846605	3319494	0	4921	3400	362	278	668	3	177213746	33.92516229490178
19717	chr4	9353773	12636541	3282768	3	6126	2381	940	580	1556	39	180496514	34.55360359638249
28783	chrY	16048284	19166581	3118297	2	7194	3108	1092	750	1607	31	183614811	35.15055916104114
28814	chrY	39812908	42630353	2817445	1	6899	3321	918	717	1474	4	186432256	35.689920700647434
12356	chr2	103002896	105818031	2815135	1	7502	3669	909	701	1714	5	189247391	36.22884002216022
14902	chr22	44203871	47002037	2798166	0	11231	5495	67	4045	1001	0	192045557	36.76451085933149
14356	chr21	64765498	67530686	2765188	12	6142	1544	1113	771	2152	195	194810745	37.29386850676767
15366	chr22	82391714	85069359	2677645	0	11298	5761	131	3698	885	0	197488390	37.80646723707798
28839	chrY	65782399	68176312	2393913	0	2488	829	416	287	612	20	199882303	38.26474933357446
28921	chrY	72911830	75247645	2335815	0	4116	887	1167	1093	544	0	202218118	38.71190935786437
12361	chr2	114270200	116601388	2331188	0	6305	3099	772	600	1416	5	204549306	39.15818360591242
28778	chrY	58	2148565	2148507	0	4805	2029	771	648	959	13	206697813	39.5694860602194
1577	chr1	176646322	178636043	1989721	0	439	112	135	77	89	0	208687534	39.95039109366174
25545	chr9	2106785	4062051	1955266	0	2082	1862	43	44	108	1	210642800	40.32470018580013
17141	chr26	27227001	29159871	1932870	0	4964	1556	813	604	1296	51	212575670	40.694721868231845
8848	chr17	42886541	44797985	1911444	0	59	13	10	8	25	0	214487114	41.060641834268885
2698	chr10	124340107	126121671	1781564	0	4342	1387	622	744	1239	14	216268678	41.401698040138804
19715	chr4	3	1728738	1728735	0	3222	1261	520	346	744	20	217997413	41.73264085221545
12362	chr2	116602132	118291393	1689261	0	4355	2187	538	376	967	2	219686674	42.05602690367586
12343	chr2	79162298	80696179	1533881	0	1379	1369	0	0	0	0	221220555	42.34966756666408
12342	chr2	77612894	79134628	1521734	1	4102	1805	623	385	944	7	222742289	42.64098285165146
12365	chr2	118687504	120099364	1411860	0	3393	1745	420	285	741	2	224154149	42.91126425317253
3187	chr11	69690826	71080452	1389626	1	5632	4152	167	22	1248	0	225543775	43.1772892576844
12359	chr2	112847591	114231823	1384232	0	3767	1879	452	364	828	1	226928007	43.442281654232445
12354	chr2	101587315	102962826	1375511	0	3621	1804	451	328	799	2	228303518	43.70560453390016
11037	chr19	62672110	64042965	1370855	0	4330	1915	0	1070	848	0	229674373	43.968036085670285
11354	chr2	3829642	5170943	1341301	3	3702	1622	492	454	807	7	231015674	44.22480992595305
27603	chrX	90277103	91582334	1305231	3	2098	586	686	305	349	4	232320905	44.4746786551392
28938	chrY	77414618	78711955	1297337	0	3081	1399	471	373	602	0	233618242	44.72303618535122
2160	chr10	79454003	80736357	1282354	0	7460	1752	13	4298	318	0	234900596	44.96852542392031
13350	chr20	56298609	57568165	1269556	1	2205	450	452	410	658	0	236170152	45.211564659389474
14431	chr21	81029754	82293763	1264009	1	2622	734	486	327	818	15	237434161	45.45354199712499
10249	chr18	98273174	99500559	1227385	0	2368	628	471	243	762	19	238661546	45.688508167996
11306	chr19	97695060	98822758	1127698	0	1446	0	0	0	802	0	239789244	45.90439061804948
18476	chr3	9255231	10354203	1098972	0	149	31	18	46	30	0	240888216	46.11477386595821
10139	chr18	90161848	91227316	1065468	0	2767	717	498	329	952	20	241953684	46.3187432285833
20752	chr4	113187243	114240725	1053482	4	2331	671	609	270	510	9	243007166	46.520418034468605
27993	chrX	119380105	120362171	982066	0	1028	571	62	146	56	0	243989232	46.708421218117266
28781	chrY	15068126	16025841	957715	1	2259	1012	302	243	493	7	244946947	46.891762733889195
16596	chr25	4	953247	953243	0	6646	2569	599	2168	1227	0	245900190	47.074248146061905
14463	chr21	89071237	89992614	921377	0	1950	543	330	215	631	11	246821567	47.25063324578092
20655	chr4	98891915	99792688	900773	3	1473	552	276	184	318	3	247722340	47.42307398982943
12305	chr2	73429872	74289088	859216	3	2552	1110	289	271	650	8	248581556	47.587559211231934
7413	chr15	105902361	106739008	836647	1	2490	719	456	396	722	0	249418203	47.74772390442985
10255	chr18	100047640	100880404	832764	0	1769	488	353	181	582	13	250250967	47.907145250070556
12352	chr2	96622127	97453511	831384	0	2243	1071	298	235	493	2	251082351	48.066302413473586
20775	chr5	3681350	4490973	809623	0	657	643	5	6	2	0	251891974	48.22129372928656
23859	chr7	65657229	66440667	783438	1	11	7	0	2	0	0	252675412	48.37127228285764
11416	chr2	11044580	11824938	780358	2	2277	979	283	236	569	7	253455770	48.520661212304034
28885	chrY	70414508	71158449	743941	0	1195	286	344	257	170	1	254199711	48.66307860222158
28948	chrY	83973912	84716035	742123	0	1114	487	137	107	145	1	254941834	48.80514796075644
14432	chr21	82306969	83048258	741289	0	1577	435	268	184	507	11	255683123	48.94705766133026
12345	chr2	82460862	83194547	733685	0	2016	969	248	213	445	3	256416808	49.08751167948716
20543	chr4	88339532	89067677	728145	3	1467	502	311	192	315	31	257144953	49.22690513996522
16595	chr24	63141313	63858621	717308	0	377	78	68	108	93	0	257862261	49.36422400413184
14425	chr21	78830842	79530899	700057	0	1432	406	259	147	448	11	258562318	49.49824039889098
28940	chrY	79037121	79735555	698434	0	1157	270	329	280	150	0	259260752	49.631946092366235
14465	chr21	90294828	90976185	681357	0	1479	410	263	174	463	11	259942109	49.76238262636833
12297	chr2	72224040	72894453	670413	1	1895	884	234	179	443	5	260612522	49.89072408036373
23753	chr7	51415280	52085238	669958	1	1496	464	262	285	387	11	261282480	50.01897843079526
19227	chr3	107428964	108092745	663781	9	948	235	287	98	221	1	261946261	50.14605027855854
11399	chr2	8860631	9524105	663474	0	1927	815	255	191	481	10	262609735	50.27306335534575
12351	chr2	95939754	96599211	659457	0	1698	850	221	144	367	0	263269192	50.399307432097615
23752	chr7	50768558	51415251	646693	0	1260	354	179	266	359	15	263915885	50.52310801458728
20246	chr4	58873180	59518571	645391	13	1485	430	330	194	322	19	264561276	50.6466593468788
14438	chr21	84232202	84862135	629933	0	1260	353	198	147	394	7	265191209	50.76725145523542
11408	chr2	9976974	10587759	610785	0	1693	784	227	139	390	4	265801994	50.88417793932594
14414	chr21	76964746	77574453	609707	1	1446	399	219	181	486	25	266411701	51.00089805497282
19362	chr3	114925764	115525650	599886	4	1093	232	257	126	344	5	267011587	51.11573807369485
10432	chr19	6801477	7394456	592979	0	2002	543	318	195	781	2	267604566	51.229255841173604
4446	chr12	120753788	121343094	589306	2	1247	351	274	163	289	1	268193872	51.34207046274004
14461	chr21	88269987	88858566	588579	0	754	214	154	66	226	4	268782451	51.454745910040664
22169	chr6	31439031	32004928	565897	7	702	190	269	74	104	4	269348348	51.56307919682306
25279	chr8	95764280	96316585	552305	2	3260	1362	455	322	968	0	269900653	51.66881048000064
10854	chr19	46328408	46876712	548304	0	503	2	0	0	291	0	270448957	51.77377582612532
13754	chr21	0	546228	546228	8	1386	388	236	178	436	12	270995185	51.87834375027507
10103	chr18	86258642	86803975	545333	0	1296	378	221	164	422	12	271540518	51.98274033884312
9664	chr18	35841329	36386625	545296	0	1061	294	221	105	343	8	272085814	52.087129844264226
4447	chr12	121356509	121901577	545068	3	1208	338	259	174	262	1	272630882	52.19147570218519
24940	chr8	57800689	58340499	539810	5	1405	415	255	251	352	6	273170692	52.29481498749329
9332	chr18	2155123	2693076	537953	0	1242	347	199	224	370	10	273708645	52.39779877539894
2699	chr10	126131783	126665551	533768	0	1191	383	188	146	386	5	274242413	52.49998140195334
10138	chr18	89609910	90132936	523026	0	1323	372	236	170	428	14	274765439	52.60010761865469
14452	chr21	86738531	87253444	514913	0	743	202	150	77	228	4	275280352	52.69868071180941
14410	chr21	76133541	76646217	512676	0	761	224	173	88	201	4	275793028	52.79682556172811
9742	chr18	42071871	42575271	503400	0	1177	323	188	209	354	10	276296428	52.89319464756219
28796	chrY	25187673	25689057	501384	0	1003	381	178	121	211	6	276797812	52.98917779760557
28917	chrY	72249625	72738461	488836	0	1048	222	250	207	253	4	277286648	53.082758803650044
23467	chr7	26929533	27417240	487707	9	905	280	122	150	225	13	277774355	53.17612367799427
27172	chrX	50532547	51019625	487078	3	781	237	154	126	214	2	278261433	53.26936813884031
947	chr1	106197805	106670740	472935	6	1146	288	281	111	319	3	278734368	53.359905114622876
28787	chrY	19675356	20145310	469954	1	1132	349	196	157	264	16	279204322	53.449871418484754
6833	chr15	46519467	46989397	469930	0	1383	406	253	217	403	0	279674252	53.53983312787294
25957	chr9	57617882	58087526	469644	0	275	61	37	93	58	0	280143896	53.62974008644954
20753	chr4	114240733	114705099	464366	0	1159	306	289	133	276	0	280608262	53.7186366436852
19713	chr3	150462084	150924432	462348	0	13	6	2	0	1	0	281070610	53.80714688225734
28670	chrX	189956537	190415975	459438	5	1561	494	217	156	485	12	281530048	53.895100040893496
28820	chrY	56275321	56727659	452338	0	893	363	140	101	195	4	281982386	53.9816940010604
28803	chrY	26376158	26827833	451675	0	855	332	151	109	184	1	282434061	54.06816103889137
12277	chr2	70619745	71069957	450212	1	1123	383	268	89	249	2	282884273	54.15434800526311
953	chr1	106770632	107215598	444966	1	1175	349	192	156	313	6	283329239	54.23953069625883
12116	chr2	55888493	56329223	440730	0	67	7	2	7	20	0	283769969	54.323902462646714
10185	chr18	94666669	95101067	434398	0	978	295	187	111	305	6	284204367	54.4070620537237
11689	chr2	31987661	32418983	431322	2	836	208	291	92	179	1	284635689	54.4896327864216
17138	chr26	26533529	26959987	426458	0	859	335	159	97	178	2	285062147	54.571272372449876
20237	chr4	58141026	58567324	426298	3	1008	311	220	106	234	16	285488445	54.65288132865349
14430	chr21	80580186	81006291	426105	0	795	223	128	103	262	7	285914550	54.73445333763111
14428	chr21	79908806	80334099	425293	0	876	246	156	113	250	4	286339843	54.81586990024858
12274	chr2	69609015	70033457	424442	1	1206	600	151	103	263	1	286764285	54.897123550486135
11875	chr2	40452236	40867129	414893	5	705	228	194	62	137	0	287179178	54.97654917450077
20770	chr4	133867805	134280370	412565	1	1036	294	238	122	249	0	287591743	55.0555291345666
309	chr1	34373732	34785829	412097	1	1078	495	71	15	272	0	288003840	55.134419502395296
