	Unnamed: 0	Chromosome	source	type	Gene Start	Gene End	score	Strand	phase	attributes	gene	Start	End	overlaps_dup
5	55	chrX	AUGUSTUS	gene	572360	572950	.	-	.	ID=gene-H2ab2;Name=H2ab2;origin=de_novo	H2AB2	572359	572950	True
109	4934	chrX	Liftoff	gene	5867224	5867985	.	-	.	ID=gene-Mageb16-l1;Dbxref=GeneID:101590446;Name=Mageb16-l1;origin=rename;copy_num_ID=gene-LOC101590446_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101590446;gene_biotype=protein_coding;sequence_ID=0.990;valid_ORFs=1	MAGEB16-L1	5867223	5867985	True
110	4938	chrX	Liftoff	gene	6927810	6928817	.	+	.	ID=gene-Magea4;Dbxref=GeneID:105743873;Name=Magea4;origin=rename;copy_num_ID=gene-LOC105743873_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC105743873;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=1	MAGEA4	6927809	6928817	True
112	4946	chrX	Liftoff	gene	7154240	7155181	.	+	.	ID=gene-LOC101581620;Dbxref=GeneID:101581620;Name=LOC101581620;origin=liftoff;copy_num_ID=gene-LOC101581620_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101581620;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101581620	7154239	7155181	True
113	4950	chrX	Liftoff	gene	7158654	7159415	.	-	.	ID=gene-Magea11-l1;Dbxref=GeneID:101581237;Name=Magea11-l1;origin=rename;copy_num_ID=gene-LOC101581237_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101581237;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	MAGEA11-L1	7158653	7159415	True
114	4954	chrX	Liftoff	gene	7257104	7257862	.	-	.	ID=gene-Magea10-l5;Dbxref=GeneID:101580834;Name=Magea10-l5;origin=rename;copy_num_ID=gene-LOC101580834_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101580834;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	MAGEA10-L5	7257103	7257862	True
115	4958	chrX	Liftoff	gene	7319876	7320832	.	-	.	ID=gene-Magea4-l1;Dbxref=GeneID:101580439;Name=Magea4-l1;origin=rename;copy_num_ID=gene-LOC101580439_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101580439;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	MAGEA4-L1	7319875	7320832	True
117	4966	chrX	Liftoff	gene	7477649	7478488	.	-	.	ID=gene-Magea4-l2;Dbxref=GeneID:101579652;Name=Magea4-l2;origin=rename;copy_num_ID=gene-LOC101579652_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101579652;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	MAGEA4-L2	7477648	7478488	True
118	4970	chrX	Liftoff	gene	7567046	7567909	.	-	.	ID=gene-Magea11-l2;Dbxref=GeneID:101578861;Name=Magea11-l2;origin=rename;copy_num_ID=gene-LOC101578861_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101578861;gene_biotype=protein_coding;sequence_ID=0.991;valid_ORFs=1	MAGEA11-L2	7567045	7567909	True
119	4974	chrX	Liftoff	gene	7630752	7631615	.	-	.	ID=gene-Magea4-l3;Dbxref=GeneID:101578465;Name=Magea4-l3;origin=rename;copy_num_ID=gene-LOC101578465_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101578465;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	MAGEA4-L3	7630751	7631615	True
120	4978	chrX	Liftoff	gene	7662456	7663472	.	-	.	ID=gene-Magea4-l4;Dbxref=GeneID:101578071;Name=Magea4-l4;origin=rename;copy_num_ID=gene-LOC101578071_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101578071;gene_biotype=protein_coding;sequence_ID=0.982;valid_ORFs=1	MAGEA4-L4	7662455	7663472	True
121	4982	chrX	Liftoff	gene	7723441	7724202	.	+	.	ID=gene-Mageb16;Dbxref=GeneID:101577666;Name=Mageb16;origin=rename;copy_num_ID=gene-LOC101577666_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101577666;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	MAGEB16	7723440	7724202	True
122	4986	chrX	Liftoff	gene	7797987	7798700	.	-	.	ID=gene-LOC101576844;Dbxref=GeneID:101576844;Name=LOC101576844;origin=liftoff;copy_num_ID=gene-LOC101576844_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101576844;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	LOC101576844	7797986	7798700	True
124	4994	chrX	AUGUSTUS	gene	8050412	8052067	.	+	.	ID=gene-Magea10-dl1;Name=Magea10-dl1;origin=de_novo	MAGEA10-DL1	8050411	8052067	True
139	5640	chrX	Liftoff	gene	12026973	12056056	.	-	.	ID=gene-Ell2-l1;Dbxref=GeneID:101588738;Name=Ell2-l1;origin=rename;copy_num_ID=gene-LOC101588738_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101588738;gene_biotype=protein_coding;sequence_ID=0.975;valid_ORFs=1	ELL2-L1	12026972	12056056	True
140	5648	chrX	Liftoff	gene	12138477	12138578	.	+	.	ID=gene-LOC111814175;Dbxref=GeneID:111814175;Name=LOC111814175;origin=liftoff;copy_num_ID=gene-LOC111814175_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814175;gene_biotype=snRNA;sequence_ID=1.0	LOC111814175	12138476	12138578	True
193	6958	chrX	Liftoff	gene	27480963	27489661	.	-	.	ID=gene-LOC101559949;Dbxref=GeneID:101559949;Name=LOC101559949;origin=liftoff;copy_num_ID=gene-LOC101559949_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101559949;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	LOC101559949	27480962	27489661	True
194	6970	chrX	Liftoff	gene	27607256	27608806	.	+	.	ID=gene-Rtl8c;Dbxref=GeneID:101591387;Name=Rtl8c;origin=liftoff;copy_num_ID=gene-Rtl8c_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Rtl8c;gene_biotype=protein_coding;sequence_ID=0.995;valid_ORFs=1	RTL8C	27607255	27608806	True
195	6976	chrX	AUGUSTUS	gene	27624272	27625881	.	-	.	ID=gene-Rtl8c-dl1;Name=Rtl8c-dl1;origin=de_novo	RTL8C-DL1	27624271	27625881	True
197	6992	chrX	Liftoff	gene	28836741	28837557	.	+	.	ID=gene-LOC101568284;Dbxref=GeneID:101568284;Name=LOC101568284;origin=liftoff;copy_num_ID=gene-LOC101568284_0;coverage=0.998;extra_copy_number=0;gbkey=Gene;gene=LOC101568284;gene_biotype=protein_coding;sequence_ID=0.985;valid_ORFs=0	LOC101568284	28836740	28837557	True
198	6998	chrX	AUGUSTUS	gene	30072099	30073232	.	-	.	ID=gene-Lage3-dl1;Name=Lage3-dl1;origin=de_novo	LAGE3-DL1	30072098	30073232	True
224	8028	chrX	Liftoff	gene	36105803	36146397	.	+	.	ID=gene-LOC111817588;Dbxref=GeneID:111817588;Name=LOC111817588;origin=liftoff;copy_num_ID=gene-LOC111817588_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111817588;gene_biotype=protein_coding;sequence_ID=0.993;valid_ORFs=0	LOC111817588	36105802	36146397	True
255	9840	chrX	Liftoff	gene	45331935	45405688	.	-	.	ID=gene-Xiap;Dbxref=GeneID:101577146;Name=Xiap;origin=liftoff;copy_num_ID=gene-Xiap_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Xiap;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=2	XIAP	45331934	45405688	True
256	9875	chrX	Liftoff	gene	45364153	45366754	.	+	.	ID=gene-Gja1-l1;Dbxref=GeneID:101576744;Name=Gja1-l1;origin=rename;copy_num_ID=gene-LOC101576744_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101576744;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	GJA1-L1	45364152	45366754	True
271	10831	chrX	Liftoff	gene	50560810	50582868	.	-	.	ID=gene-LOC111814449;Dbxref=GeneID:111814449;Name=LOC111814449;origin=liftoff;copy_num_ID=gene-LOC111814449_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814449;gene_biotype=lncRNA;sequence_ID=1.0	LOC111814449	50560809	50582868	True
272	10836	chrX	AUGUSTUS	gene	50827500	50832056	.	+	.	ID=gene-Rhox13-dl1;Name=Rhox13-dl1;origin=de_novo	RHOX13-DL1	50827499	50832056	True
273	10849	chrX	Liftoff	gene	51017409	51019091	.	-	.	ID=gene-Rhoxf1;Dbxref=GeneID:111814447;Name=Rhoxf1;origin=liftoff;copy_num_ID=gene-Rhoxf1_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Rhoxf1;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=1	RHOXF1	51017408	51019091	True
275	10868	chrX	AUGUSTUS	gene	51504001	51505395	.	+	.	ID=gene-Larp7-dl5;Name=Larp7-dl5;origin=de_novo	LARP7-DL5	51504000	51505395	True
308	12086	chrX	Liftoff	gene	53366322	53476051	.	-	.	ID=gene-Wdr44;Dbxref=GeneID:101577544;Name=Wdr44;origin=liftoff;copy_num_ID=gene-Wdr44_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Wdr44;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	WDR44	53366321	53476051	True
