family	gene_name	gene_id	gene_type	chrom	start	end	strand	length	paralog_type	copy_num
Aadac	Aadac	gene-Aadac	parent	chr16	55051470	55072413	+	20944		
Aadac	Aadac-l1	gene-Aadac-l1	paralog_l	chr16	55116436	55134952	-	18517	l	1.0
Aadac	Aadac-l2	gene-Aadac-l2	paralog_l	chr16	55211359	55224941	+	13583	l	2.0
Aadac	Aadac-l3	gene-Aadac-l3	paralog_l	chr16	55288931	55301871	+	12941	l	3.0
Aadacl4	Aadacl4	gene-Aadacl4	parent	chr19	32592787	32616855	-	24069		
Aadacl4	Aadacl4-l1	gene-Aadacl4-l1	paralog_l	chr19	32807869	32819437	-	11569	l	1.0
Aadacl4	Aadacl4-l2	gene-Aadacl4-l2	paralog_l	chr19	32871325	32888795	-	17471	l	2.0
Aadacl4	Aadacl4-l3	gene-Aadacl4-l3	paralog_l	chr19	32990025	33011467	-	21443	l	3.0
Aasdhppt	Aasdhppt	gene-Aasdhppt	parent	chr25	27843913	27873881	+	29969		
Aasdhppt	Aasdhppt-l1	gene-Aasdhppt-l1	paralog_l	chr15	97313318	97315913	-	2596	l	1.0
Abca3	Abca3	gene-Abca3	parent	chr20	36807592	36867975	-	60384		
Abca3	Abca3-l1	gene-Abca3-l1	paralog_l	chr3	8535821	8671068	-	135248	l	1.0
Abcb1	Abcb1	gene-Abcb1	parent	chr5	107262792	107592233	+	329442		
Abcb1	Abcb1-l1	gene-Abcb1-l1	paralog_l	chr22	59701179	59799622	+	98444	l	1.0
Abcg2	Abcg2	gene-Abcg2	parent	chr1	110232197	110391010	-	158814		
Abcg2	Abcg2-l1	gene-Abcg2-l1	paralog_l	chr1	122816438	122902514	-	86077	l	1.0
Abcg2	Abcg2-l2	gene-Abcg2-l2	paralog_l	chr1	123329387	123389052	+	59666	l	2.0
Abraxas2	Abraxas2	gene-Abraxas2	parent	chr28	18447070	18470755	-	23686		
Abraxas2	Abraxas2-dl1	gene-Abraxas2-dl1	paralog_dl	chr23	18730423	18735329	+	4907	dl	1.0
Acad9	Acad9	gene-Acad9	parent	chr17	8856217	8879475	+	23259		
Acad9	Acad9-l1	gene-Acad9-l1	paralog_l	chr9	78002991	78026112	+	23122	l	1.0
Acbd5	Acbd5	gene-Acbd5	parent	chr9	62147290	62176074	-	28785		
Acbd5	Acbd5-l1	gene-Acbd5-l1	paralog_l	chrX	49670284	49673572	+	3289	l	1.0
Accsl	Accsl	gene-Accsl	parent	chr4	64281771	64291293	-	9523		
Accsl	Accsl-l1	gene-Accsl-l1	paralog_l	chr4	64307815	64320720	-	12906	l	1.0
Accsl	Accsl-l2	gene-Accsl-l2	paralog_l	chr4	64332505	64344138	-	11634	l	2.0
Aco1	Aco1	gene-Aco1	parent	chr14	58822870	58857704	-	34835		
Aco1	Aco1-l1	gene-Aco1-l1	paralog_l	chr21	3714328	3717648	+	3321	l	1.0
Acot13	Acot13	gene-Acot13	parent	chr10	33146256	33146875	+	620		
Acot13	Acot13-dl3	gene-Acot13-dl3	paralog_dl	chr4	18452152	18453285	+	1134	dl	3.0
Acot13	Acot13-dl1	gene-Acot13-dl1	paralog_dl	chr13	93252897	93270842	-	17946	dl	1.0
Acot13	Acot13-dl2	gene-Acot13-dl2	paralog_dl	chr18	78050490	78050879	+	390	dl	2.0
Acot2	Acot2	gene-Acot2	parent	chr27	2132298	2139192	-	6895		
Acot2	Acot2-dl1	gene-Acot2-dl1	paralog_dl	chr27	2178640	2184668	-	6029	dl	1.0
