gene	base_gene	Chromosome	gene_start_bed	gene_end_bed	region_start	region_end	region_length	gene_length	tier	is_paralog	num_copies	overlaps_dup	Strand	source
LOC111814891	LOC111814891	chrX	25544	30066	20544	35066	14522	4522	T3	False	1	True	-	Liftoff
VAMP7	VAMP7	chrX	95260	134513	90260	139513	49253	39253	T4	False	2	False	-	Liftoff
SPRY3	SPRY3	chrX	184598	192686	179598	197686	18088	8088	T4	False	1	False	-	Liftoff
LOC101572155	LOC101572155	chrX	247131	249699	242131	254699	12568	2568	T3	False	1	True	-	Liftoff
TMLHE	TMLHE	chrX	359138	515200	354138	520200	166062	156062	T3	False	1	True	+	Liftoff
H2AB2	H2AB2	chrX	572359	572950	567359	577950	10591	591	T3	False	1	True	-	AUGUSTUS
CLIC2	CLIC2	chrX	618113	639104	613113	644104	30991	20991	T4	False	1	False	+	Liftoff
RAB39B	RAB39B	chrX	678070	683099	673070	688099	15029	5029	T4	False	1	False	+	Liftoff
VBP1	VBP1	chrX	706340	737620	701340	742620	41280	31280	T3	False	1	True	-	Liftoff
PICALM-L1	PICALM	chrX	758423	822722	753423	827722	74299	64299	T2	True	2	True	-	Liftoff
LOC111814601	LOC111814601	chrX	854698	854805	849698	859805	10107	107	T4	False	1	False	-	Liftoff
BRCC3	BRCC3	chrX	907903	926313	902903	931313	28410	18410	T4	False	2	False	-	Liftoff
LOC111814603	LOC111814603	chrX	923327	923452	918327	928452	10125	125	T4	False	1	False	+	Liftoff
CMC4	CMC4	chrX	926709	936307	921709	941307	19598	9598	T3	False	2	True	+	Liftoff
MTCP1	MTCP1	chrX	926874	932539	921874	937539	15665	5665	T3	False	1	True	+	Liftoff
FUNDC2	FUNDC2	chrX	941449	963886	936449	968886	32437	22437	T3	False	2	True	-	Liftoff
F8	F8	chrX	970288	1133279	965288	1138279	172991	162991	T3	False	1	True	+	Liftoff
LOC105741258	LOC105741258	chrX	1021574	1022093	1016574	1027093	10519	519	T3	False	1	True	+	Liftoff
LOC101579454	LOC101579454	chrX	1098761	1099825	1093761	1104825	11064	1064	T3	False	1	True	-	Liftoff
MPP1	MPP1	chrX	1155113	1179309	1150113	1184309	34196	24196	T4	False	1	False	+	Liftoff
DKC1	DKC1	chrX	1177684	1190572	1172684	1195572	22888	12888	T3	False	1	True	-	Liftoff
LOC111814602	LOC111814602	chrX	1185973	1186093	1180973	1191093	10120	120	T3	False	1	True	-	Liftoff
GAB3	GAB3	chrX	1209472	1292029	1204472	1297029	92557	82557	T4	False	1	False	+	Liftoff
LAGE3-L1	LAGE3	chrX	1369953	1374495	1364953	1379495	14542	4542	T2	True	3	True	+	Liftoff
OR5AR1	OR5AR1	chrX	1495146	1496085	1490146	1501085	10939	939	T4	False	1	False	-	Liftoff
LOC101565997	LOC101565997	chrX	1508785	1509751	1503785	1514751	10966	966	T4	False	1	False	+	Liftoff
IKBKG	IKBKG	chrX	1621982	1646966	1616982	1651966	34984	24984	T3	False	1	True	-	Liftoff
G6PD	G6PD	chrX	1636928	1650351	1631928	1655351	23423	13423	T3	False	1	True	+	Liftoff
FAM3A	FAM3A	chrX	1656007	1663597	1651007	1668597	17590	7590	T4	False	1	False	+	Liftoff
SLC10A3	SLC10A3	chrX	1699641	1703261	1694641	1708261	13620	3620	T3	False	1	True	+	Liftoff
UBL4A	UBL4A	chrX	1703261	1706075	1698261	1711075	12814	2814	T4	False	1	False	+	Liftoff
LAGE3	LAGE3	chrX	1716437	1717272	1711437	1722272	10835	835	T4	False	3	False	+	Liftoff
PLXNA3	PLXNA3	chrX	1741313	1755349	1736313	1760349	24036	14036	T3	False	1	True	-	Liftoff
FAM50A	FAM50A	chrX	1762330	1768766	1757330	1773766	16436	6436	T3	False	1	True	-	Liftoff
GDI1	GDI1	chrX	1768766	1775737	1763766	1780737	16971	6971	T4	False	1	False	-	Liftoff
ATP6AP1	ATP6AP1	chrX	1776124	1783157	1771124	1788157	17033	7033	T4	False	1	False	-	Liftoff
